question,answer
料金プランはどのようになっていますか？,"現在は個人事業主様・フリーランス様向けの「Soloプラン」をご用意しております。月額2,980円（税込）ですが、年払いを選択いただくと2ヶ月分無料の29,800円（税込）でご利用いただけて大変お得です。また、すべての機能を無料でお試しいただけるFreeプラン（月間10件まで）もございます。"
初期費用はかかりますか？,"Soloプラン（年払い）には初期導入サポートが含まれているため、初期費用は実質0円です。月払いを選択された場合でも、ご自身で設定される場合は初期費用はかかりません。設定代行をご希望の場合は、別途「初期導入サポート（29,800円）」をご購入いただけます。"
LINE公式アカウントを持っていないのですが、利用できますか？,"はい、ご利用いただけます。SnapKarteのご利用にはLINE公式アカウントが必要ですが、お持ちでない場合は開設からサポートさせていただきます。初期設定に不安がある方は「初期導入サポート」のご利用をおすすめします。"
今使っているLINE公式アカウントをそのまま使えますか？,"はい、現在お使いのLINE公式アカウントにSnapKarteを連携させることが可能です。これまでの友だち登録者様にもスムーズにご案内いただけます。"
お客様（エンドユーザー）もアプリのダウンロードが必要ですか？,"いいえ、お客様はアプリのダウンロードは一切不要です。いつものLINEアプリでお店の公式アカウントと友だちになるだけで、会員証やカルテ機能をご利用いただけます。"
パソコンがなくてもスマホだけで使えますか？,"はい、スマホだけで全ての機能をご利用いただけます。来店記録の作成、写真の撮影・アップロード、売上確認など、サロンワークに必要な操作はすべてスマホに最適化されています。"
スタッフを追加して複数人で使えますか？,"現在は個人サロン様向けの「Soloプラン」を中心にご提供しているため、1店舗につき1アカウントのご利用を想定しております。複数スタッフでの管理機能（権限分けなど）は、今後のアップデートで「Standardプラン」として提供予定です。"
解約したい場合はどうすればいいですか？,"管理画面の「設定」＞「契約内容の確認・変更」からいつでも解約手続きが可能です。解約金や違約金などは一切発生しませんのでご安心ください。"
支払い方法は何がありますか？,"クレジットカード決済（Visa, Mastercard, American Express, JCB, Diners Club, Discover）に対応しております。"
インボイス制度に対応した領収書は発行されますか？,"はい、可能です。お支払い完了後にStripeより送信されるメール、または管理画面の契約情報ページから、適格請求書（インボイス）対応の領収書をダウンロードいただけます。"
撮影した写真の保存容量や保存期間に制限はありますか？,"Soloプランをご契約の場合、写真の保存枚数・容量・期間はすべて「無制限」です。過去の施術履歴もずっと残せるので、長期的な顧客管理に最適です。"
機種変更をした場合、データは消えますか？,"いいえ、データはクラウド（サーバー）上に安全に保存されているため、スマホの機種変更をしてもデータは消えません。新しい端末でログインするだけで、すぐに続きからご利用いただけます。"
お客様にメッセージを一斉送信できますか？,"はい、LINE公式アカウントの管理画面（LINE Official Account Manager）から一斉送信が可能です。SnapKarteで顧客管理をしながら、販促メッセージはLINE公式の機能をそのまま活用いただけます。"
導入までの流れを教えてください。,"①「新規登録」からアカウント作成 → ②LINE公式アカウントとの連携設定（Webhook設定など） → ③利用開始、という流れになります。最短10分程度で設定完了しますが、設定が難しい場合は「初期導入サポート」にお任せいただくことも可能です。"
